0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
15,0,18,11,18,0,0,0,0,7,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,6,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0
0,18,0,19,18,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,0,17,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,18,0,0,15,0,0,0,0,12,0,11,2,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,9,0,0,13,18,0,19,0,0,18,0,18,14,6,0,0,0,0,2,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,17,19,0,19,0,0,13,0,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,7,0,0,0,0
0,0,0,0,0,0,0,14,0,15,0,15,17,11,0,17,17,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7,0,0,11,0,17,0,18,15,0,0,13,19,14,10,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
0,0,0,10,0,0,0,17,14,16,0,11,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,18,19,12,13,15,0,0,14,13,17,0,11,6,5,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,11,0,14,17,0,0,0,0,11,0,16,19,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,0
5,0,0,3,1,12,19,16,17,13,14,18,0,0,13,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,4,0,6,0,0,0,0,0,0
0,0,0,0,0,15,16,0,17,0,0,16,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,13,0,0,15,0,0,17,17,18,0,19,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,13,0,12,0,0,14,0,0,14,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,14,19,0,18,0,0,0,0,0,0,16,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,18,0,15,16,0,19,15,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,12,0,16,18,12,0,18,17,0,13,11,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
10,0,5,0,0,0,0,0,0,2,0,0,4,6,0,0,0,0,15,11,0,13,0,0,16,13,0,18,16,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,11,0,12,15,0,17,15,0,0,0,0,16,15,2,6,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,2,0,0
5,8,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,14,0,0,0,15,0,18,17,11,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,16,12,12,0,11,0,13,19,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5
0,0,0,0,0,0,0,0,10,0,0,0,0,8,6,0,0,14,18,0,0,0,0,18,0,16,16,0,17,0,3,0,10,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,16,0,0,11,12,0,18,0,0,0,16,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,11,16,14,18,17,17,0,17,14,18,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0
